State/UT,District,ds,Category,y
Andhra Pradesh,Prakasam,2020-07-01,Outcome,65.17
Andhra Pradesh,Prakasam,2020-07-01,Overall,408.71
Andhra Pradesh,Prakasam,2020-07-01,SS,88.57
Andhra Pradesh,Prakasam,2021-07-01,DL,24.0
Andhra Pradesh,Prakasam,2021-07-01,ECT,91.11
Andhra Pradesh,Prakasam,2021-07-01,GP,72.62
Andhra Pradesh,Prakasam,2021-07-01,IF,64.71
Andhra Pradesh,Prakasam,2021-07-01,Outcome,42.07
Andhra Pradesh,Prakasam,2021-07-01,Overall,394.51
Andhra Pradesh,Prakasam,2021-07-01,SS,100.0
Andhra Pradesh,Srikakulam,2018-07-01,DL,8.0
Andhra Pradesh,Srikakulam,2018-07-01,ECT,76.67
Andhra Pradesh,Srikakulam,2018-07-01,GP,76.19
Andhra Pradesh,Srikakulam,2018-07-01,IF,72.55
Andhra Pradesh,Srikakulam,2018-07-01,Outcome,67.24
Andhra Pradesh,Srikakulam,2018-07-01,Overall,369.22
Andhra Pradesh,Srikakulam,2018-07-01,SS,68.57
Andhra Pradesh,Srikakulam,2019-07-01,DL,14.0
Andhra Pradesh,Srikakulam,2019-07-01,ECT,80.0
Andhra Pradesh,Srikakulam,2019-07-01,GP,75.0
Andhra Pradesh,Srikakulam,2019-07-01,IF,68.63
Andhra Pradesh,Srikakulam,2019-07-01,Outcome,67.93
Andhra Pradesh,Srikakulam,2019-07-01,Overall,336.99
Andhra Pradesh,Srikakulam,2019-07-01,SS,31.43
Andhra Pradesh,Srikakulam,2020-07-01,DL,10.0
Andhra Pradesh,Srikakulam,2020-07-01,ECT,92.22
Andhra Pradesh,Srikakulam,2020-07-01,GP,25.0
Andhra Pradesh,Srikakulam,2020-07-01,IF,60.78
Andhra Pradesh,Srikakulam,2020-07-01,Outcome,70.0
Andhra Pradesh,Srikakulam,2020-07-01,Overall,343.71
Andhra Pradesh,Srikakulam,2020-07-01,SS,85.71
Andhra Pradesh,Srikakulam,2021-07-01,DL,30.0
Andhra Pradesh,Srikakulam,2021-07-01,ECT,94.44
Andhra Pradesh,Srikakulam,2021-07-01,GP,77.38
Andhra Pradesh,Srikakulam,2021-07-01,IF,66.67
Andhra Pradesh,Srikakulam,2021-07-01,Outcome,48.97
Andhra Pradesh,Srikakulam,2021-07-01,Overall,417.46
Andhra Pradesh,Srikakulam,2021-07-01,SS,100.0
Andhra Pradesh,Visakhapatnam,2018-07-01,DL,12.0
Andhra Pradesh,Visakhapatnam,2018-07-01,ECT,78.89
Andhra Pradesh,Visakhapatnam,2018-07-01,GP,67.86
Andhra Pradesh,Visakhapatnam,2018-07-01,IF,68.63
Andhra Pradesh,Visakhapatnam,2018-07-01,Outcome,54.83
Andhra Pradesh,Visakhapatnam,2018-07-01,Overall,339.35
Andhra Pradesh,Visakhapatnam,2018-07-01,SS,57.14
Andhra Pradesh,Visakhapatnam,2019-07-01,DL,20.0
Andhra Pradesh,Visakhapatnam,2019-07-01,ECT,81.11
Andhra Pradesh,Visakhapatnam,2019-07-01,GP,66.67
Andhra Pradesh,Visakhapatnam,2019-07-01,IF,74.51
Andhra Pradesh,Visakhapatnam,2019-07-01,Outcome,59.31
Andhra Pradesh,Visakhapatnam,2019-07-01,Overall,358.74
Andhra Pradesh,Visakhapatnam,2019-07-01,SS,57.14
Andhra Pradesh,Visakhapatnam,2020-07-01,DL,16.0
Andhra Pradesh,Visakhapatnam,2020-07-01,ECT,78.89
Andhra Pradesh,Visakhapatnam,2020-07-01,GP,77.38
Andhra Pradesh,Visakhapatnam,2020-07-01,IF,66.67
Andhra Pradesh,Visakhapatnam,2020-07-01,Outcome,57.93
Andhra Pradesh,Visakhapatnam,2020-07-01,Overall,365.44
Andhra Pradesh,Visakhapatnam,2020-07-01,SS,68.57
Andhra Pradesh,Visakhapatnam,2021-07-01,DL,36.0
Andhra Pradesh,Visakhapatnam,2021-07-01,ECT,93.33
Andhra Pradesh,Visakhapatnam,2021-07-01,GP,78.57
Andhra Pradesh,Visakhapatnam,2021-07-01,IF,80.39
Andhra Pradesh,Visakhapatnam,2021-07-01,Outcome,52.76
Andhra Pradesh,Visakhapatnam,2021-07-01,Overall,441.05
Andhra Pradesh,Visakhapatnam,2021-07-01,SS,100.0
Andhra Pradesh,Vizianagaram,2018-07-01,DL,8.0
Andhra Pradesh,Vizianagaram,2018-07-01,ECT,83.33
Andhra Pradesh,Vizianagaram,2018-07-01,GP,73.81
Andhra Pradesh,Vizianagaram,2018-07-01,IF,52.94
Andhra Pradesh,Vizianagaram,2018-07-01,Outcome,52.41
Andhra Pradesh,Vizianagaram,2018-07-01,Overall,307.63
Andhra Pradesh,Vizianagaram,2018-07-01,SS,37.14
